Food,Serving,Calories
Apple,1 apple (182 g),95 cal
Banana,1 banana (125 g),111 cal
Blueberries,1 cup (148 g),84 cal
Bread,2 slices (56 g),160 cal
Broccoli,1 bunch (608 g),207 cal
Cantaloupe,1 wedge (69 g),23 cal
Carrot,1 carrot (61 g),25 cal
Cauliflower,1 floweret (13 g),3 cal
Cherry Tomato,1 cherry tomato (20 g),20 cal
Chives,"1 tbsp, chopped (3 g)",1 cal
Chicken Breast,1 piece (71 g),116 cal
Clementine,1 clementine (74 g),35 cal
Egg,1 egg (50 g),78 cal
Garlic,1 clove (3 g),4 cal
Grapes,1 cup (151 g),104 cal
Honeydew,1 wedge (125 g),45 cal
Jujube,1 oz. (28.35 g),22 cal
Mushrooms,1 mushroom (5.4 g),1 cal
Onion,1 onion (85 g),34 cal
Orange,1 orange (131 g),62 cal
Pear,1 pear (178 g),101 cal
Pineapple,1 pineapple (905 g),453 cal
Potato,1 potato (213 g),164 cal
Raisins,1 cup (145 g),434 cal
Strawberries,1 cup (152 g),49 cal
Sweet Potato,1 potato (130 g),112 cal
